ID,Name,Author,Category,Language
BT-1,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-2,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-3,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-4,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-5,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-6,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-7,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-8,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-9,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-10,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-11,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-12,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-13,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-14,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-15,憲法,東京アカデミー,Bandlikni taminlash,yapon
BT-16,仕事の日本語,清ルミ,Bandlikni taminlash,yapon
BT-16.1,しごとの日本語 ビジネスマナー編,釜渕 優子,Bandlikni taminlash,yapon
BT-17,最新社会と情報,おかもと・としお、やまぎわ・たかし,Bandlikni taminlash,yapon
BT-18,ロジカル・プレゼンテーション,たかひさ・たかだ,Bandlikni taminlash,yapon
BT-19,あなたは大学で何をどう学ぶか,にしやま・きよひさ,Bandlikni taminlash,yapon
BT-20,自己分析シート,ひさと・とぐち,Bandlikni taminlash,yapon
BT-21,就職面接は９割成功する,わたべ・みゆき,Bandlikni taminlash,yapon
BT-22,マネジメント,なかお・りゅういちろう,Bandlikni taminlash,yapon
BT-23,ファシリは最強のビジネススキル,こじ・そのべ,Bandlikni taminlash,yapon
BT-24,ファシリテーターの道具箱,まつだ・みつのり,Bandlikni taminlash,yapon
BT-25,2030年の世界地図帳,よいち・おちあい,Bandlikni taminlash,yapon
BT-26,ストーリー思考,かんだ・まさのり,Bandlikni taminlash,yapon
BT-27,キャリアづくりの教科書,とくや・さとし,Bandlikni taminlash,yapon
BT-28,就職活動一冊目の教科書,キャリアアカデミー,Bandlikni taminlash,yapon
BT-29,大人の女のキャリア計画,Joanna Barsh,Bandlikni taminlash,yapon
BT-30,THINK CIVILITY,Christine porath,Bandlikni taminlash,yapon
BT-31,LIFE SHIFT,リンダ・グラットン、アンドリュー・スコット,Bandlikni taminlash,yapon
BT-32,EdTech,さと・まさひろ,Bandlikni taminlash,yapon
BT-33,なぜ、あなたの仕事は終わらないのか,なかじま・さとし,Bandlikni taminlash,yapon
BT-34,苦しかった時の話をしようか,もりおか・つよし,Bandlikni taminlash,yapon
BT-35,自分の頭で考える読書,あらき・ひろゆき,Bandlikni taminlash,yapon
BT-36,就職四四季報,まさひろ・みなみ,Bandlikni taminlash,yapon
