ID,Name,Author,Category,Language
F-1,Rus tilini o'rganishning eng samarali usullari,Alisher Absalomov,Filologiya,uzbek
F-2,Rus tilini o'rganishning eng samarali usullari,Alisher Absalomov,Filologiya,uzbek
F-2.1,Русский Язык,И.Д. Сабуров,Filologiya,rus tili
F-3,Dinshunoslikka kirish,D.A.Raximdjanov,Filologiya,uzbek
F-4,Dinshunoslik asoslari,I.Usmonov,Filologiya,uzbek
F-5,Tilshunoslik asoslari,I.Yo'ldoshev,Filologiya,uzbek
F-6,Tilshunoslik asoslari,I.Yo'ldoshev,Filologiya,uzbek
F-7,The elements of academic style,Julia Kushnirsky,Filologiya,english
F-8,Headway students book,Liz and John Soars,Filologiya,english
F-9,Headway students book,Liz and John Soars,Filologiya,english
F-10,Headway work book,Liz and John Soars,Filologiya,english
F-11,Headway work book,Liz and John Soars,Filologiya,english
F-12,Mustaqil O'zbekiston tarixi,Narzulla Jo'rayev,Filologiya,uzbek
F-13,O'zbek sinonimlarining katta izohli lug'at 1,Nizommidin Maxmudov,Filologiya,uzbek
F-14,O'zbek sinonimlarining katta izohli lug'at 2,Nizommidin Maxmudov,Filologiya,uzbek
f-14.1,O'zbek tilining kiril va lotin imlo lug'ati,T.Tog'ayev,Filologiya,uzbek
F-15,Новейшая история Узбекистана,O.M. Nazarov,Filologiya,rus
F-16,How to study in college,Ross J.Q.Owens,Filologiya,english
F-17,A history of japanese literature,Shuichi Kato,Filologiya,english
F-18,Third edition solutions,Tim Falla,Filologiya,english
F-19,Ingliz tili oltin qoidalarai,To'xtaxon Dadaboyeva,Filologiya,english
F-20,Ingliz tili oltin qoidalarai,To'xtaxon Dadaboyeva,Filologiya,english
F-21,O'zbek tili,U.P.lafasov,Filologiya,uzbek
F-22,Falsafa,Z.Davronov,Filologiya,uzbek
F-23,日本人の知らない日本語,海野凪子,Filologiya,yapon
F-23.1,Yaponcha va o'zbekcha lug'at,Munojot Umarova,filologiya,o'zbek va yapon
F-23.2,中級へ行こう 日本語の文型と表現55 第2版  CD付,平井悦子・三輪さち子,Filologiya,yapon
F-24,中級を学ぼう 日本語の文型と表現56 中級前期 第2版 CD付,"平井 悦子, 三輪 さち子",Filologiya,yapon
F-25,中級を学ぼう―日本語の文型と表現82 中級中期CD付,"平井 悦子, 三輪 さち子",Filologiya,yapon
F-26,トライ日本語能力試験Ｎ１,著者一同,Filologiya,yapon
F-27,マンガで学ぶ日本語表現と日本文化,武田聡子,Filologiya,yapon
F-28,できる日本語 中級 ことば・表現ワークブック,嶋田 和子,Filologiya,yapon
F-29,ニューアプローチ中上級日本語[完成編] CD付,小柳 昇,Filologiya,yapon
F-30,ニューアプローチ中級日本語[基礎編]改訂版 練習帳,"小柳 昇 , 岩井 理子, 中村 かおり, 金 根熙",Filologiya,yapon
F-31,語彙力が身につく,本田祐吾,Filologiya,yapon
F-32,初めての日本ちずえほん,Akemi Tezuka,Filologiya,yapon
F-33,初めての日本ちずえほん,Akemi Tezuka,Filologiya,yapon
F-34,地図でよくわかる,Yoko Oka,Filologiya,yapon
F-35,日本語能力試験 N1 読解,"田代 ひとみ (著), 初鹿野 阿れ (著), 清水 知子 (著), 福岡 理恵子 (著), 中村 則子 (著)",Filologiya,yapon
F-36,日本語能力試験 N1 聴解,"中村 かおり (著), 福島 佐知 (著), 友松 悦子 (著)",Filologiya,yapon
F-37,日本語能力試験 N1試験,Toshiya Nishikuma,Filologiya,yapon
F-38,日本語能力試験 N1試験,Toshiya Nishikuma,Filologiya,yapon
F-39,日本語能力試験 JLPT N2,"筒井 由美子 (著), 大村 礼子 (著), 沼田 宏 (著)",Filologiya,yapon
F-40,新完全マスター語彙 日本語能力試験N3,"伊能 裕晃 (著), 本田 ゆかり (著), 来栖 里美 (著), 前坊 香菜子 (著)",Filologiya,yapon
F-41,Minna no nihongo I 漢字練習帳,田中よね,Filologiya,yapon
F-42,Yapon tili darsligi 1-qism,ToshDShU,Filologiya,o'zbek
F-43,Minna no nihongoII o'zbek tili tarjimasi,Yamazaki Eriko,Filologiya,o'zbek
F-43.1,Minna no nihongoII o'zbek tili tarjimasi,Yamazaki Eriko,Filologiya,o'zbek
F-44,みんなの日本語初級Ⅱ第２版書いて覚える文型練習帳,"平井 悦子, 三輪 さち子",Filologiya,yapon
F-45,みんなの日本語初級Ⅱ第２版書いて覚える文型練習帳,"平井 悦子, 三輪 さち子",Filologiya,yapon
F-46,みんなの日本語初級Ⅱ第２版書いて覚える文型練習帳,"平井 悦子, 三輪 さち子",Filologiya,yapon
F-47,みんなの日本語初級Ⅱ第２版書いて覚える文型練習帳,"平井 悦子, 三輪 さち子",Filologiya,yapon
