ID,Name,Author,Category,Language
Sh-1,Zakovat zavqi,Abdurasul Abdullayev,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-2,Zakovat zavqi,Abdurasul Abdullayev,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-3,Talaba do'stimga 78+tavsiya,Alisher Umriddinov,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-4,Talaba do'stimga 78+tavsiya,Alisher Umriddinov,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-5,Talaba do'stimga 78+tavsiya,Alisher Umriddinov,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-6,Tana tili,Allan Piz,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-7,Tana tili,Allan Piz,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-8,Insoniyatning bugungi axvoli,"Artur Shopengauer, Erix Fromm, Zigmund Freyd, Djordj Oruell, Karl Gustav Yung, Bertran Rassel","shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-9,Insoniyatning bugungi axvoli,"Artur Shopengauer, Erix Fromm, Zigmund Freyd, Djordj Oruell, Karl Gustav Yung, Bertran Rassel","shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-10,"Qaror qil, reja tuz, harakat boshla",Aycha Karaman,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-11,"Qaror qil, reja tuz, harakat boshla",Aycha Karaman,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-12,Mantiqiy xato. To‘g‘ri fikrlash qo‘llanmasi,Bo Bennett,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-13,Mantiqiy xato. To‘g‘ri fikrlash qo‘llanmasi,Bo Bennett,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-14,Pul alifbosi,Bodo Shefer,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-15,Lider shaxsiyati,Brayan Treysi,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-16,Lider shaxsiyati,Brayan Treysi,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-17,Samaradorlikning 21 yo‘li,Brayan Treysi,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-18,Samaradorlikning 21 yo‘li,Brayan Treysi,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-19,Samaradorlikning 21 yo‘li,Breynna Uest,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-20,"Olga intil, Govlarni olib tashla",Breynna Uest,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-21,"Olga intil, Govlarni olib tashla",Breynna Uest,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-22,Kitob haqida kitob,Davronbek Tojialiyev,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-23,Kitob haqida kitob,Davronbek Tojialiyev,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-24,Latte omili. Moliyaviy mustaqillik va erkin hayot sari,"Devid Bax, Jon Devid Mann","shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-25,Latte omili. Moliyaviy mustaqillik va erkin hayot sari,"Devid Bax, Jon Devid Mann","shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-26,Yodda Tut,Doktor Linda Fulder-Hu,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-27,Yodda Tut,Doktor Linda Fulder-Hu,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-28,Alibaba. Jek Ma bunyod etgan maskan,Dunkan Klark,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-29,Alibaba. Jek Ma bunyod etgan maskan,Dunkan Klark,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-30,Kouching. Shaxsiy va kasbiy o‘sishning sinalgan usuli,Dunkan Oldred,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-31,Kouching. Shaxsiy va kasbiy o‘sishning sinalgan usuli,Dunkan Oldred,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-31.1,Kouching. Shaxsiy va kasbiy o‘sishning sinalgan usuli,Dunkan Oldred,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-32,Odamlar o‘ynaydigan o‘yinlar,Erik Bern,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-33,Odamlar o‘ynaydigan o‘yinlar,Erik Bern,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-34,Sevgi San’ati,Erix Fromm,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-35,Sevgi San’ati,Erix Fromm,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-36,Xarakatda davom et,Ferxat Kardash,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-37,Xarakatda davom et,Ferxat Kardash,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-38,Oq nilufarlar yurtida,Grigoriy Petrov,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-39,Oq nilufarlar yurtida,Grigoriy Petrov,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-40,Omma psixologiyasi,Gustav Lebon,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-41,Omma psixologiyasi,Gustav Lebon,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
Sh-42,Faktdorlik. Factfulness,Hans Rosling,"shaxsiy rivojlanish,psixologiya va falsafa",o'zbek
