ID,Name,Author,Category,language
JA-75,Kassandra tamg‘asi,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-76,Kassandra tamg‘asi,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-77,Oq kema,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-78,Oq kema,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-79,Qulayotgan tog‘lar,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-80,Qulayotgan tog‘lar,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-81,Asrni qaritgan kun,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-82,Asrni qaritgan kun,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-83,Cho‘qqida qolgan ovchining oxi zori,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-84,Cho‘qqida qolgan ovchining oxi zori,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-85,Hayot-mamot,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-86,Hayot-mamot,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-87,Alvido Gulsari,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-88,Alvido Gulsari,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-89,Chingizxonning oq buluti,Chingiz Aytmatov,jahon adabiyoti,o'zbek
JA-90,Shimol shamoli shashti,Daniyel Glattauyer,jahon adabiyoti,o'zbek
JA-91,Shimol shamoli shashti,Daniyel Glattauyer,jahon adabiyoti,o'zbek
JA-92,Eljernonga atalgan gullar,Daniyel Kiz,jahon adabiyoti,o'zbek
JA-93,Eljernonga atalgan gullar,Daniyel Kiz,jahon adabiyoti,o'zbek
JA-94,Da Vinchi siri,Den Braun,jahon adabiyoti,o'zbek
JA-95,Da Vinchi siri,Den Braun,jahon adabiyoti,o'zbek
JA-96,Farishtalar va iblislar,Den Braun,jahon adabiyoti,o'zbek
JA-97,Farishtalar va iblislar,Den Braun,jahon adabiyoti,o'zbek
JA-98,Raqamli qal’a,Den Braun,jahon adabiyoti,o'zbek
JA-99,Raqamli qal’a,Den Braun,jahon adabiyoti,o'zbek
JA-100,Raqamli qal’a,Den Braun,jahon adabiyoti,o'zbek
JA-101,Uliss,Djeyms Djoys,jahon adabiyoti,o'zbek
JA-102,Uliss,Djeyms Djoys,jahon adabiyoti,o'zbek
JA-103,Emma,Djeyn Ostin,jahon adabiyoti,o'zbek
JA-104,Emma,Djeyn Ostin,jahon adabiyoti,o'zbek
JA-105,1984,Djordj Oruell,jahon adabiyoti,o'zbek
JA-106,1984,Djordj Oruell,jahon adabiyoti,o'zbek
JA-106.1,1984,Djordj Oruell,jahon adabiyoti,o'zbek
JA-106.2,1984,Djordj Oruell,jahon adabiyoti,o'zbek
JA-107,Molxona,Djorj Oruel,jahon adabiyoti,o'zbek
JA-108,Molxona,Djorj Oruel,jahon adabiyoti,o'zbek
JA-109,Molxona,Djorj Oruel,jahon adabiyoti,o'zbek
JA-109.1,Molxona,Djorj Oruel,jahon adabiyoti,o'zbek
JA-110,"To‘xtating samolyotni, tushib qolaman",Efreim Sevela,jahon adabiyoti,o'zbek
JA-111,"To‘xtating samolyotni, tushib qolaman",Efreim Sevela,jahon adabiyoti,o'zbek
JA-112,Remark: Lissabondagi tun,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-113,Remark: Lissabondagi tun,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-114,Remark: Gʻarbiy frontda o‘zgarish yo‘q,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-115,Remark: Gʻarbiy frontda o‘zgarish yo‘q,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-115.1,Remark: Gʻarbiy frontda o‘zgarish yo‘q,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-116,Remark: Qarzga olingan umr,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-117,Remark: Qarzga olingan umr,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-118,Remark: Jannatdagi soyalar,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-119,Remark: Jannatdagi soyalar,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-120,Uch og‘ayni,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-121,Uch og‘ayni,Erix Mariya Remark,jahon adabiyoti,o'zbek
JA-122,Alvido qurol,Ernest Xeminguyey,jahon adabiyoti,o'zbek
JA-123,Alvido qurol,Ernest Xeminguyey,jahon adabiyoti,o'zbek
JA-124,Quyosh baribir chiqaveradi,Ernest Xeminguyey,jahon adabiyoti,o'zbek
