ID,Name,Author,Category,Language
T.M-1,Turizm asoslari,Murotjon Mirzayev,turizm va menejment,uzbek
T.M-2,Menedjement turizm,A.D. Chundovskiy,turizm va menejment,rus
T.M-3,World geography of travel and tourism,Alan lew,turizm va menejment,ingliz
T.M-4,international tourism,Musa Kulaklikaya,turizm va menejment,ingliz
T.M-5,strategic marketing,Rodoula.H,turizm va menejment,ingliz
T.M-6,international tourism,Yvette Reisinger,turizm va menejment,ingliz
T.M-7,tourism management,Stephen.J,turizm va menejment,ingliz
T.M-8,tourism,Charles.R,turizm va menejment,ingliz
T.M-9,mikroiqtisodiyot,I.A.Bakiyeva,turizm va menejment,uzbek
T.M-10,mikroiqtisodiyot,I.A.Bakiyeva,turizm va menejment,uzbek
T.M-11,sanoat statistikasi,H.Nabiyav,turizm va menejment,uzbek
T.M-12,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-13,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-14,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.1,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.2,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.3,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.4,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.5,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.6,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.7,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.8,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.9,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.10,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.11,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.12,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.13,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.14,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.15,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.16,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.17,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.18,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.19,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.20,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.21,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.22,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-15.23,Yaponiya universitetlariga sayohat,Munojot Umarova,turizm va menejment,o'zbek va yapon
T.M-16,よく日本語で話しましょう,Ergash Masharipov,turizm va menejment,o'zbek va yapon
T.M-17,Germaniya,Andreas Fibiger,turizm va menejment,rus tili
