ID,Name,Author,Category,Language
UZ-12,Adabiyot muallimi,Abdulla Qahhor,o'zbek adabiyoti,o'zbek
UZ-13,O‘tmishdan ertaklar,Abdulla Qahhor,o'zbek adabiyoti,o'zbek
UZ-14,O‘tmishdan ertaklar,Abdulla Qahhor,o'zbek adabiyoti,o'zbek
UZ-15,O‘tkan kunlar,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-16,O‘tkan kunlar,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-17,O‘tkan kunlar,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-18,Mexrobdan chayon,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-19,Mexrobdan chayon,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-20,Mexrobdan chayon,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-20.1,Mexrobdan chayon,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-21,O'tkan kunlar,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-22,Mehrobdan Chayon,Abdulla Qodiriy,o'zbek adabiyoti,o'zbek
UZ-23,Mashaqqatlar osha yulduzlar sari,Abduqayum Yo‘ldoshev,o'zbek adabiyoti,o'zbek
UZ-24,Mashaqqatlar osha yulduzlar sari,Abduqayum Yo‘ldoshev,o'zbek adabiyoti,o'zbek
UZ-25,Saratonning sariq yozi,Abdurahmon Ibrohim,o'zbek adabiyoti,o'zbek
UZ-26,Saratonning sariq yozi,Abdurahmon Ibrohim,o'zbek adabiyoti,o'zbek
UZ-27,Lison ut-tayr,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-28,Lison ut-tayr,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-29,Xamsa,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-30,Xamsa,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-31,Saddi Iskandariy,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-32,Saddi Iskandariy,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-33,Sab’ai sayyor,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-34,Sab’ai sayyor,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-35,Lison ut-tayr,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-36,Xamsa,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-37,Xamsa,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-39,Sab'ai sayyor,Alisher Navoiy,o'zbek adabiyoti,o'zbek
